DATAFLOW;LAST UPDATE;freq;unit;operator;procstat;geo;TIME_PERIOD;OBS_VALUE
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;France;2015;28884
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2017;27808
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2016;27636
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2021;26720
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2013;26598
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;France;2014;26466
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2020;26407
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2022;26251
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2019;26042
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2018;25795
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;France;2013;25467
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2015;25078
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2017;24998
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2014;24829
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2016;24213
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2021;23802
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2014;23717
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Germany;2013;23271
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2015;23070
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2020;22689
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2016;22451
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2015;22295
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2014;22184
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2013;21986
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2022;21981
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2019;21940
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Austria;2013;21863
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2017;20276
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2016;20197
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2014;20186
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2018;20087
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2021;19986
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Greece;2015;19604
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2021;19536
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2018;19224
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2019;18655
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Poland;2020;18598
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2017;18497
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2020;17254
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2016;16578
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2019;16162
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2018;15670
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2017;15019
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;France;2017;14859
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2015;14658
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2013;14553
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2016;14494
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2015;14280
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2014;14151
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2022;13573
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2021;13263
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;France;2016;12826
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2014;12641
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;France;2015;11842
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2015;11812
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2014;11609
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2021;11562
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;France;2014;11198
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Italy;2013;10860
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2016;10083
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2020;9647
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2019;9277
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Germany;2013;9146
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;France;2013;8957
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2018;8518
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Romania;2017;7908
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2022;7819
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2021;7670
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2020;7561
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2019;7284
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2018;7032
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2016;6964
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2017;6705
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2016;6410
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2015;6298
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2018;6213
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2014;6195
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2022;6189
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Croatia;2022;6132
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Switzerland;2013;6047
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Croatia;2021;6024
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2020;5945
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2019;5942
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2021;5921
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2015;5919
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2018;5804
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2017;5801
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2022;5773
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2016;5741
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2019;5730
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2019;5637
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2015;5605
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2013;5584
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2020;5561
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2020;5489
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2014;5406
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2021;5360
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2020;5313
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2019;5230
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2018;5213
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Croatia;2019;5153
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2019;5136
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2019;5129
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2021;5129
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2020;5128
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2020;5102
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Sweden;2022;5079
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2022;5053
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2021;5007
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2022;4945
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2021;4797
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2019;4694
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2017;4674
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2020;4669
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2017;4665
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2018;4627
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2018;4601
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2016;4493
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2017;4426
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Croatia;2018;4374
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2021;4352
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2015;4328
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2017;4297
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2013;4284
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2016;4271
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2022;4260
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Finland;2014;4247
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2016;4246
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Denmark;2020;4186
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Latvia;2017;4178
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Latvia;2019;4171
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Latvia;2016;4145
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2015;4121
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2015;4103
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Denmark;2019;4099
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Denmark;2022;4095
EUROSTAT;05.02.2024 11:00;Annual;Number;Importers;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2016;4076
EUROSTAT;05.02.2024 11:00;Annual;Number;Importers;Registered at the end of the year;European Union - 28 countries (2013-2020);2016;4076
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Croatia;2017;4023
EUROSTAT;05.02.2024 11:00;Annual;Number;Importers;Registered at the end of the year;European Union - 27 countries (from 2020);2016;3941
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Denmark;2018;3941
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registration withdrawn during year;Romania;2017;3937
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2018;3929
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2013;3910
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2013;3908
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2014;3893
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Czechia;2014;3866
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Bulgaria;2013;3854
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2019;3823
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2016;3810
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2018;3738
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2021;3718
EUROSTAT;05.02.2024 11:00;Annual;Number;Importers;Registered at the end of the year;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);2015;3694
EUROSTAT;05.02.2024 11:00;Annual;Number;Importers;Registered at the end of the year;European Union - 28 countries (2013-2020);2015;3694
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2020;3685
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2017;3642
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Latvia;2015;3634
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Denmark;2017;3631
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2017;3627
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2019;3581
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2018;3560
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Croatia;2016;3546
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2014;3526
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2016;3513
EUROSTAT;05.02.2024 11:00;Annual;Number;Importers;Registered at the end of the year;European Union - 27 countries (from 2020);2015;3505
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registration withdrawn during year;Romania;2015;3498
EUROSTAT;05.02.2024 11:00;Annual;Number;Processors;Registered at the end of the year;Spain;2015;3492
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Latvia;2013;3490
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2017;3479
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Latvia;2014;3475
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2015;3434
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Hungary;2016;3414
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2015;3412
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;United Kingdom;2016;3402
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Portugal;2014;3329
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Denmark;2016;3306
EUROSTAT;05.02.2024 11:00;Annual;Number;Agricultural producers;Registered at the end of the year;Slovenia;2014;3293
