DATAFLOW,LAST UPDATE,freq,meat,meatitem,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2015,96.96,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2016,74.3,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2017,69.2,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2018,56.32,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2019,53.61,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2020,56.6,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2021,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2022,43.28,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bosnia and Herzegovina,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2014,835.33,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2015,872.55,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2016,911.37,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2017,920.14,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2018,888.1,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2019,837.89,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2020,782.65,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2021,766.94,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2022,755.08,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Belgium,2023,771.1,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2014,22.84,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2015,25.18,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2016,0,n
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2017,35.07,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2018,34.23,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2019,26.65,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2020,30.35,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2021,35.21,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2022,33.67,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Bulgaria,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2014,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2015,629.58,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2016,630.33,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2017,605.66,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2018,622.56,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2019,615.96,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2020,605.11,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2021,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2022,595.93,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Switzerland,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2014,14.71,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2015,14.93,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2016,16.38,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2017,16.58,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2018,16.85,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2019,17.25,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2020,15.32,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2021,19.82,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2022,20.84,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Cyprus,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2014,222.99,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2015,231.2,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2016,241.79,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2017,227.43,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2018,236.57,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2019,238.83,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2020,234.53,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2021,235.28,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2022,222.87,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Czechia,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2014,3553,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2015,3519,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2016,3607,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2017,3505,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2018,3416,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2019,3387,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2020,3263,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2021,3240.59,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2022,2998.37,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Germany,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2014,485.5,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2015,460.7,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2016,495.8,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2017,467,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2018,490.5,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2019,464.2,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2020,448.1,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2021,452.7,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2022,447.07,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Denmark,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2014,37.12,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2015,38.9,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2016,37.62,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2017,35.23,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2018,34.95,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2019,34.27,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2020,35.15,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2021,34.01,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2022,32.37,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Estonia,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2014,188.51,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2015,174.75,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2016,167.46,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2017,181.25,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2018,166.16,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2019,144.34,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2020,144.48,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2021,140.28,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2022,147.66,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Greece,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2014,2182.59,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2015,2333.9,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2016,2373.85,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2017,2391,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2018,2462.56,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2019,2510.77,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2020,2422.41,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2021,2552.37,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2022,2595.98,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),Spain,2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2014,22613.54,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2015,22827.58,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2016,23484.65,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2017,23266.27,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2018,23571.01,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2019,23201.5,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2020,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2021,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2022,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 15 countries (1995-2004),2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2014,24882.45,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2015,25301.13,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2016,26074.97,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2017,25971.88,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2018,26294.58,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2019,25833.61,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2020,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2021,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2022,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 25 countries (2004-2006),2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2014,25041.63,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2015,25534.5,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2016,26375.63,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2017,26281.82,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2018,26561.95,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2019,26056.3,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2020,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2021,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2022,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (2007-2013),2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2014,22566.3,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2015,23077.34,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2016,23785.95,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2017,23710.81,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2018,23932.73,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2019,23413.32,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2020,22912.58,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2021,23033.81,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2022,22664.54,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 27 countries (from 2020),2023,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2014,25236.43,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2015,25716.9,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2016,26565.83,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2017,26464.42,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2018,26742.35,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2019,26239.5,p
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2020,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2021,,
ESTAT:APRO_MT_PANN(1.0),26/01/24 23:00:00,Annual,Bovine meat,Slaughterings,Thousand heads (animals),European Union - 28 countries (2013-2020),2022,,
