DATAFLOW,LAST UPDATE,freq,unit,crops,agprdmet,geo,TIME_PERIOD,OBS_VALUE
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2012,0.32
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2018,0.35
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2017,0.35
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Iceland,2019,0.37
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2017,0.39
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2008,0.4
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2018,0.41
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2016,0.41
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Iceland,2017,0.44
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2015,0.44
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2019,0.47
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Iceland,2013,0.49
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2010,0.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2011,0.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2009,0.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Poland,2004,0.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2018,0.55
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2004,0.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2000,0.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2021,0.61
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2021,0.61
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Serbia,2019,0.61
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Malta,2020,0.62
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Greece,2000,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Greece,2001,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2001,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2002,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2003,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2004,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2005,0.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2012,0.76
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2014,0.79
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2005,0.8
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Luxembourg,2000,0.8
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2006,0.8
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,North Macedonia,2013,0.82
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2006,0.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2021,0.93
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2014,0.96
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2005,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2007,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2008,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Poland,2005,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Poland,2006,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2007,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2008,1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2020,1.01
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Montenegro,2017,1.06
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2009,1.1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2010,1.1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2011,1.1
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2013,1.13
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2012,1.16
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2014,1.16
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2006,1.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2000,1.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2013,1.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Portugal,2000,1.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2009,1.2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2010,1.3
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2014,1.34
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2015,1.34
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Montenegro,2016,1.36
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2016,1.39
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2001,1.4
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Lithuania,2004,1.4
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Iceland,2015,1.41
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2019,1.46
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2017,1.49
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2000,1.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2007,1.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Spain,2000,1.5
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2001,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2008,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Hungary,2002,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Luxembourg,2001,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Latvia,2004,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Netherlands,2000,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2011,1.6
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2019,1.63
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2015,1.65
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2018,1.65
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2017,1.66
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2020,1.66
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2016,1.67
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Türkiye,2018,1.69
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2003,1.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2004,1.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2005,1.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2002,1.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2006,1.7
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2021,1.71
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2016,1.72
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Montenegro,2021,1.72
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Montenegro,2018,1.73
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2015,1.77
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2004,1.8
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Hungary,2007,1.8
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Poland,2007,1.8
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Montenegro,2019,1.85
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Montenegro,2020,1.87
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Spain,2001,1.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2003,1.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2005,1.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2007,1.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2009,1.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Netherlands,2001,1.9
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2017,1.93
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Greece,2002,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,France,2008,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Hungary,2003,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Ireland,2021,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Norway,2000,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Poland,2008,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Portugal,2001,2
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2013,2.06
ESTAT:SDG_02_40(1.0),14/02/24 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Romania,2014,2.09
