DATAFLOW,LAST UPDATE,freq,agriprod,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2013,0,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2014,0,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2015,0,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2016,373,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2017,212,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2018,969,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2019,187,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2020,151,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Bulgaria,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2013,10,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2014,15,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2015,19,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2016,22,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2017,23,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2018,28,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2019,17,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2020,13,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Cyprus,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2013,10329,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2014,6674,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2015,6719,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2016,6752,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2017,6697,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2018,7291,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2019,7867,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2020,8197,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Czechia,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2013,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2014,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2015,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2016,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2017,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2018,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2019,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2020,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Germany,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2013,14229,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2014,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2015,14305,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2016,16818,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2017,16254,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2018,6643,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2019,17835,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2020,18224,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Denmark,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2013,1634,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2014,1804,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2015,2221,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2016,2209,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2017,2878,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2018,3404,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2019,2636,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2020,5024,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Estonia,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2013,521,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2014,610,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2015,874,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2016,675,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2017,801,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2018,839,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2019,977,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2020,925,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Greece,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2013,24250,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2014,24601,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2015,28849,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2016,26487,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2017,26417,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2018,35803,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2019,41265,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2020,38668,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Spain,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2013,2870,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2014,3100,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2015,4150,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2016,4360,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2017,3780,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2018,3710,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2019,3770,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2020,4420,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Finland,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2013,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2014,41773,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2015,44769,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2016,50175,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2017,55694,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2018,68948,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2019,78808,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2020,85092,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,France,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2013,9,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2014,109,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2015,1225,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2016,1774,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2017,1725,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2018,2311,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2019,2602,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2020,2835,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Croatia,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2013,894,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2014,982,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2015,888,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2016,1376,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2017,1123,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2018,1110,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2019,1812,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2020,1621,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Hungary,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2013,943,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2014,1139,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2015,1337,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2016,1555,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2017,1550,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2018,2361,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2019,2338,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2020,2227,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Ireland,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2013,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2014,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2015,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2016,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2017,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2018,23,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2019,29,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2020,11,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Iceland,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2013,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2014,73555,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2015,54927,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2016,99073,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2017,52039,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2018,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2019,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2020,91159,e
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Italy,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2013,2798,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2014,3758,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2015,4060,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2016,284,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2017,365,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2018,803,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2019,1098,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2020,1697,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Lithuania,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2013,135,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2014,127,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2015,120,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2016,145,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2017,150,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2018,187,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2019,290,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2020,308,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Luxembourg,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2013,3463,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2014,2784,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2015,2700,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2016,1582,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2017,1604,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2018,1629,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2019,1283,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2020,1533,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2021,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Latvia,2022,,
ESTAT:ORG_APROD$DEFAULTVIEW(1.0),05/02/24 11:00:00,Annual,Meat of livestock,Tonne,Montenegro,2013,,
